"SiteURL","PageURL","IsSubsite","Error","LinkFound","LinkReplaced"
"https://alfalavalonline.sharepoint.com/sites/communicationbrand","https://alfalavalonline.sharepoint.com/sites/communicationbrand/SitePages/Brand-identity-guidelines.aspx","No","","False","False"
"https://alfalavalonline.sharepoint.com/sites/communicationbrand","https://alfalavalonline.sharepoint.com/sites/communicationbrand/SitePages/This-is-Alfa-Laval-Corporate-texts.aspx","No","","False","False"
"https://alfalavalonline.sharepoint.com/sites/communicationbrand","https://alfalavalonline.sharepoint.com/sites/communicationbrand/SitePages/La-marque-Alfa-Laval-?volue.aspx","No","","False","False"
"https://alfalavalonline.sharepoint.com/sites/communicationbrand","https://alfalavalonline.sharepoint.com/sites/communicationbrand/SitePages/Service-communication-guidlines.aspx","No","","False","False"
"https://alfalavalonline.sharepoint.com/sites/communicationbrand/internalcommunications","https://alfalavalonline.sharepoint.com/sites/communicationbrand/internalcommunications/SitePages/Change communications.aspx","No","","False","False"
"https://alfalavalonline.sharepoint.com/sites/communicationbrand/internalcommunications","https://alfalavalonline.sharepoint.com/sites/communicationbrand/internalcommunications/SitePages/Communicate outside your team.aspx","No","","False","False"
"https://alfalavalonline.sharepoint.com/sites/communicationbrand/internalcommunications","https://alfalavalonline.sharepoint.com/sites/communicationbrand/internalcommunications/SitePages/Communicate within your team.aspx","No","","False","False"
"https://alfalavalonline.sharepoint.com/sites/communicationbrand/internalcommunications","https://alfalavalonline.sharepoint.com/sites/communicationbrand/internalcommunications/SitePages/Communication for Managers.aspx","No","","False","False"
"https://alfalavalonline.sharepoint.com/sites/communicationbrand/internalcommunications","https://alfalavalonline.sharepoint.com/sites/communicationbrand/internalcommunications/SitePages/Digital infoboard templates.aspx","No","","False","False"
"https://alfalavalonline.sharepoint.com/sites/communicationbrand/internalcommunications","https://alfalavalonline.sharepoint.com/sites/communicationbrand/internalcommunications/SitePages/Digital Infoboards.aspx","No","","False","False"
"https://alfalavalonline.sharepoint.com/sites/communicationbrand/internalcommunications","https://alfalavalonline.sharepoint.com/sites/communicationbrand/internalcommunications/SitePages/Help & support for the digital infoboards.aspx","No","","False","False"
"https://alfalavalonline.sharepoint.com/sites/communicationbrand/internalcommunications","https://alfalavalonline.sharepoint.com/sites/communicationbrand/internalcommunications/SitePages/Internal communications newsflows.aspx","No","","True","True"
"https://alfalavalonline.sharepoint.com/sites/communicationbrand/internalcommunications","https://alfalavalonline.sharepoint.com/sites/communicationbrand/internalcommunications/SitePages/Internal Communications.aspx","No","","True","True"
"https://alfalavalonline.sharepoint.com/sites/communicationbrand/internalcommunications","https://alfalavalonline.sharepoint.com/sites/communicationbrand/internalcommunications/SitePages/Internal film production guidelines.aspx","No","","False","False"
"https://alfalavalonline.sharepoint.com/sites/communicationbrand/internalcommunications","https://alfalavalonline.sharepoint.com/sites/communicationbrand/internalcommunications/SitePages/Message.aspx","No","","False","False"
"https://alfalavalonline.sharepoint.com/sites/communicationbrand/internalcommunications","https://alfalavalonline.sharepoint.com/sites/communicationbrand/internalcommunications/SitePages/Order Alfa Laval digital infoboards.aspx","No","","False","False"
"https://alfalavalonline.sharepoint.com/sites/communicationbrand/internalcommunications","https://alfalavalonline.sharepoint.com/sites/communicationbrand/internalcommunications/SitePages/Newsletters-for-internal-use.aspx","No","","True","True"
"https://alfalavalonline.sharepoint.com/sites/communicationbrand/internalcommunications","https://alfalavalonline.sharepoint.com/sites/communicationbrand/internalcommunications/SitePages/Internal-communication-tools.aspx","No","","False","False"
"https://alfalavalonline.sharepoint.com/sites/communicationbrand/internalcommunications","https://alfalavalonline.sharepoint.com/sites/communicationbrand/internalcommunications/SitePages/Communication-plan.aspx","No","","False","False"
"https://alfalavalonline.sharepoint.com/sites/organizations_locations","https://alfalavalonline.sharepoint.com/sites/organizations_Locations/SitePages/Organizations & Locations.aspx","No","","False","False"
"https://alfalavalonline.sharepoint.com/sites/organizations_locations","https://alfalavalonline.sharepoint.com/sites/organizations_Locations/SitePages/Alfa Laval Organization(1).aspx","No","","False","False"
"https://alfalavalonline.sharepoint.com/sites/organizations_locations","https://alfalavalonline.sharepoint.com/sites/organizations_Locations/SitePages/Group Management.aspx","No","","False","False"
"https://alfalavalonline.sharepoint.com/sites/organizations_locations","https://alfalavalonline.sharepoint.com/sites/organizations_Locations/SitePages/Operations.aspx","No","","False","False"
"https://alfalavalonline.sharepoint.com/sites/organizations_locations","https://alfalavalonline.sharepoint.com/sites/organizations_Locations/SitePages/Welcome-to-Food-&-Water-Division.aspx","No","","False","False"
"https://alfalavalonline.sharepoint.com/sites/organizations_locations","https://alfalavalonline.sharepoint.com/sites/organizations_Locations/SitePages/Food-&-Water-Communication.aspx","No","","False","False"
"https://alfalavalonline.sharepoint.com/sites/organizations_locations","https://alfalavalonline.sharepoint.com/sites/organizations_Locations/SitePages/Welcome-to-the-Marine-Division.aspx","No","","False","False"
"https://alfalavalonline.sharepoint.com/sites/organizations_locations","https://alfalavalonline.sharepoint.com/sites/organizations_Locations/SitePages/Marine-Communication.aspx","No","","False","False"
"https://alfalavalonline.sharepoint.com/sites/organizations_locations","https://alfalavalonline.sharepoint.com/sites/organizations_Locations/SitePages/News-from-Business-Unit-in-Food-&-Water-Division.aspx","No","","False","False"
"https://alfalavalonline.sharepoint.com/sites/organizations_locations","https://alfalavalonline.sharepoint.com/sites/organizations_Locations/SitePages/News-from-Food-&-Water-BU's.aspx","No","","False","False"
"https://alfalavalonline.sharepoint.com/sites/organizations_locations","https://alfalavalonline.sharepoint.com/sites/organizations_Locations/SitePages/News-per-Business-Unit-in-Food-&-Water-Division.aspx","No","","False","False"
"https://alfalavalonline.sharepoint.com/sites/organizations_locations","https://alfalavalonline.sharepoint.com/sites/organizations_Locations/SitePages/F&W-webinars-2019.aspx","No","","False","False"
"https://alfalavalonline.sharepoint.com/sites/organizations_locations","https://alfalavalonline.sharepoint.com/sites/organizations_Locations/SitePages/Corporate-Social-Responsibility.aspx","No","","False","False"
"https://alfalavalonline.sharepoint.com/sites/organizations_locations","https://alfalavalonline.sharepoint.com/sites/organizations_Locations/SitePages/Communications.aspx","No","","False","False"
"https://alfalavalonline.sharepoint.com/sites/organizations_locations","https://alfalavalonline.sharepoint.com/sites/organizations_Locations/SitePages/Corporate-Development.aspx","No","","False","False"
"https://alfalavalonline.sharepoint.com/sites/organizations_locations","https://alfalavalonline.sharepoint.com/sites/organizations_Locations/SitePages/Group-Legal.aspx","No","","False","False"
"https://alfalavalonline.sharepoint.com/sites/organizations_locations","https://alfalavalonline.sharepoint.com/sites/organizations_Locations/SitePages/Human-Resources.aspx","No","","False","False"
"https://alfalavalonline.sharepoint.com/sites/organizations_locations","https://alfalavalonline.sharepoint.com/sites/organizations_Locations/SitePages/Finance.aspx","No","","False","False"
"https://alfalavalonline.sharepoint.com/sites/organizations_locations","https://alfalavalonline.sharepoint.com/sites/organizations_Locations/SitePages/Corporate-IT.aspx","No","","False","False"
"https://alfalavalonline.sharepoint.com/sites/organizations_locations","https://alfalavalonline.sharepoint.com/sites/organizations_Locations/SitePages/Marine-?a.aspx","No","","False","False"
"https://alfalavalonline.sharepoint.com/sites/organizations_locations","https://alfalavalonline.sharepoint.com/sites/organizations_Locations/SitePages/Ge.aspx","No","","False","False"
"https://alfalavalonline.sharepoint.com/sites/organizations_locations","https://alfalavalonline.sharepoint.com/sites/organizations_Locations/SitePages/Shipbuilding-Forecasts.aspx","No","","False","False"
"https://alfalavalonline.sharepoint.com/sites/organizations_locations","https://alfalavalonline.sharepoint.com/sites/organizations_Locations/SitePages/Customer-Financials.aspx","No","","False","False"
"https://alfalavalonline.sharepoint.com/sites/organizations_locations","https://alfalavalonline.sharepoint.com/sites/organizations_Locations/SitePages/Market-Shares.aspx","No","","False","False"
"https://alfalavalonline.sharepoint.com/sites/policiesandguidelines","https://alfalavalonline.sharepoint.com/sites/policiesandguidelines/SitePages/Policies-&-Guidelines.aspx","No","","False","False"
"https://alfalavalonline.sharepoint.com/sites/policiesandguidelines","https://alfalavalonline.sharepoint.com/sites/policiesandguidelines/SitePages/Policies & Guidelines.aspx","No","","False","False"
"https://alfalavalonline.sharepoint.com/sites/policiesandguidelines","https://alfalavalonline.sharepoint.com/sites/policiesandguidelines/SitePages/Corporate Governance.aspx","No","","False","False"
"https://alfalavalonline.sharepoint.com/sites/policiesandguidelines","https://alfalavalonline.sharepoint.com/sites/policiesandguidelines/SitePages/Approval certification and signatory power.aspx","No","","False","False"
"https://alfalavalonline.sharepoint.com/sites/policiesandguidelines","https://alfalavalonline.sharepoint.com/sites/policiesandguidelines/SitePages/Business Principles.aspx","No","","False","False"
"https://alfalavalonline.sharepoint.com/sites/policiesandguidelines","https://alfalavalonline.sharepoint.com/sites/policiesandguidelines/SitePages/Business integrity.aspx","No","","False","False"
"https://alfalavalonline.sharepoint.com/sites/policiesandguidelines","https://alfalavalonline.sharepoint.com/sites/policiesandguidelines/SitePages/Business Principle Environment.aspx","No","","False","False"
"https://alfalavalonline.sharepoint.com/sites/policiesandguidelines","https://alfalavalonline.sharepoint.com/sites/policiesandguidelines/SitePages/Social Business Principle.aspx","No","","False","False"
"https://alfalavalonline.sharepoint.com/sites/policiesandguidelines","https://alfalavalonline.sharepoint.com/sites/policiesandguidelines/SitePages/GDPR-at-Alfa-Laval.aspx","No","","False","False"
"https://alfalavalonline.sharepoint.com/sites/policiesandguidelines","https://alfalavalonline.sharepoint.com/sites/policiesandguidelines/SitePages/Your-rights-as-an-employee.aspx","No","","False","False"
"https://alfalavalonline.sharepoint.com/sites/policiesandguidelines","https://alfalavalonline.sharepoint.com/sites/policiesandguidelines/SitePages/Your-responsibilities-as-an-employee.aspx","No","","False","False"
"https://alfalavalonline.sharepoint.com/sites/policiesandguidelines","https://alfalavalonline.sharepoint.com/sites/policiesandguidelines/SitePages/For-HR-employees.aspx","No","","False","False"
"https://alfalavalonline.sharepoint.com/sites/policiesandguidelines","https://alfalavalonline.sharepoint.com/sites/policiesandguidelines/SitePages/For-Sales-and-marketing-employees.aspx","No","","False","False"
"https://alfalavalonline.sharepoint.com/sites/policiesandguidelines","https://alfalavalonline.sharepoint.com/sites/policiesandguidelines/SitePages/For-Sourcing-employees.aspx","No","","False","False"
