﻿"Site name","URL","Teams","Storage used (GB)","Primary admin","Hub","Template","Last activity (UTC)","Date created","Created by","Storage limit (GB)","Storage used (%)","Microsoft 365 group","Files viewed or edited","Page views","Page visits","Files","Sensitivity","External sharing","Segments"
"QMS- Quality Management System","https://alfalavalonline.sharepoint.com/sites/ToolSite-qms-qualitymanagementsystem","False","0.00","Share-Collaboration","All Tool Sites","Communication site","8/26/2021 5:00:00 PM","7/10/2019 5:01:50 AM","Share-Collaboration","25600","0.00","False","0","10","1","18",,"Off",
"RelationShip tool","https://alfalavalonline.sharepoint.com/sites/ToolSite-relationshiptool","False","0.00","Share-Collaboration","All Tool Sites","Communication site","8/26/2021 5:00:00 PM","8/27/2019 5:27:11 AM","Share-Collaboration","25600","0.00","False","2","11","1","24",,"Off",
"Remote Guidance","https://alfalavalonline.sharepoint.com/sites/ToolSite-remoteguidance","False","0.01","Share Collaboration Service Account","All Tool Sites","Communication site","8/26/2021 5:00:00 PM","4/20/2020 2:42:26 AM","Share Collaboration Service Account","25600","0.00","False","6","26","2","31",,"Off",
"Sales Integration Forum","https://alfalavalonline.sharepoint.com/sites/ToolSite-salesintegrationforum","False","0.03","Share Collaboration Service Account","All Tool Sites","Communication site","8/27/2021 5:00:00 PM","9/23/2020 2:30:18 AM","Share Collaboration Service Account","25600","0.00","False","13","99","18","127",,"Off",
"SALLY PHE Product Manual (PMP)","https://alfalavalonline.sharepoint.com/sites/ToolSite-sallypheproductmanual(pmp)","False","0.01","Share-Collaboration","All Tool Sites","Communication site","8/26/2021 5:00:00 PM","6/11/2019 2:28:04 AM","Share-Collaboration","25600","0.00","False","2","559","1","34",,"Off",
"SDL Knowledge center","https://alfalavalonline.sharepoint.com/sites/ToolSite-sdlknowledgecenter","False","0.00","Share Collaboration Service Account","All Tool Sites","Communication site","8/26/2021 5:00:00 PM","10/22/2019 6:24:14 AM","Share Collaboration Service Account","25600","0.00","False","0","21","1","20",,"Off",
"SenseiPDM","https://alfalavalonline.sharepoint.com/sites/ToolSite-senseipdm","False","0.19","Share-Collaboration","All Tool Sites","Communication site","8/27/2021 5:00:00 PM","6/13/2019 7:15:57 AM","Share-Collaboration","25600","0.00","False","27","279","7","219",,"Off",
"ServiceNow","https://alfalavalonline.sharepoint.com/sites/ToolSite-servicenow","False","0.01","Share Collaboration Service Account","All Tool Sites","Communication site","8/26/2021 5:00:00 PM","12/17/2019 4:25:04 AM","Share Collaboration Service Account","25600","0.00","False","6","50","1","21",,"Off",
"Sludgefinder","https://alfalavalonline.sharepoint.com/sites/ToolSite-sludgefinder","False","0.00","Share-Collaboration","All Tool Sites","Communication site","8/26/2021 5:00:00 PM","8/27/2019 5:26:53 AM","Share-Collaboration","25600","0.00","False","1","24","1","23",,"Off",
"Stationary webshop","https://alfalavalonline.sharepoint.com/sites/ToolSite-stationarywebshop","False","0.01","Share-Collaboration","All Tool Sites","Communication site","8/26/2021 5:00:00 PM","6/10/2019 2:41:59 AM","Share-Collaboration","25600","0.00","False","3","51","1","30",,"Off",
"Teamcenter4Tumba","https://alfalavalonline.sharepoint.com/sites/ToolSite-teamcenter4tumba","False","0.00","Share Collaboration Service Account","All Tool Sites","Communication site","8/9/2020 5:00:00 PM","1/23/2020 8:35:55 AM","Share Collaboration Service Account","25600","0.00","False","0","0","0","13",,"Off",
"TEST tool","https://alfalavalonline.sharepoint.com/sites/ToolSite-testtool","False","0.00","Share Collaboration Service Account","All Tool Sites","Communication site","8/26/2021 5:00:00 PM","10/18/2019 2:06:31 AM","Share Collaboration Service Account","25600","0.00","False","0","14","2","15",,"Off",
"Travel report system Tools site","https://alfalavalonline.sharepoint.com/sites/ToolSite-travelreportsystem","False","0.01","Share-Collaboration","All Tool Sites","Communication site","8/26/2021 5:00:00 PM","6/13/2019 5:21:25 AM","Share-Collaboration","25600","0.00","False","6","27","4","46",,"Off",
