"﻿""Site name""",URL,Teams,Storage used (GB),Primary admin,Hub,Template,Last activity (UTC),Date created,Created by,Storage limit (GB),Storage used (%),Microsoft 365 group,Files viewed or edited,Page views,Page visits,Files,Sensitivity,External sharing,Segments
"Poland, Ukraine, Baltics; PUB","https://alfalavalonline.sharepoint.com/sites/LocalSite-poland,ukraine,baltics;pub",FALSE,0,Share-Collaboration,All Local Sites,Communication site,12/09/2019 16:00,8/20/2019 3:55:32 AM,Share-Collaboration,25600,0,FALSE,0,0,0,26,,Off,
Rauma,https://alfalavalonline.sharepoint.com/sites/LocalSite-rauma,FALSE,0.03,Share-Collaboration,All Local Sites,Communication site,8/27/2021 5:00:00 PM,8/20/2019 12:10:59 AM,Share-Collaboration,25600,0,FALSE,1,113,8,54,,Off,
Richmond Quality,https://alfalavalonline.sharepoint.com/sites/LocalSite-richmondquality,FALSE,0.01,Share-Collaboration,All Local Sites,Communication site,8/27/2021 5:00:00 PM,07/02/2019 00:01,Share-Collaboration,25600,0,FALSE,7,115,10,72,,Off,
Ronneby,https://alfalavalonline.sharepoint.com/sites/Collaboration-Ronneby,TRUE,0.02,,All Local Sites,Team site,06/07/2021 17:00,05/08/2019 01:30,Share-Collaboration,25600,0,TRUE,0,0,0,25,,Off,
Ronneby,https://alfalavalonline.sharepoint.com/sites/LocalSite-ronneby,FALSE,0.12,Share-Collaboration,All Local Sites,Communication site,8/27/2021 5:00:00 PM,5/17/2019 1:45:48 AM,Share-Collaboration,25600,0,FALSE,17,1022,26,257,,Off,
Russia,https://alfalavalonline.sharepoint.com/sites/localsite-russia,FALSE,0.18,ShareOnine_Support_Admin,All Local Sites,Communication site,8/27/2021 5:00:00 PM,03/06/2019 00:56,Share-Collaboration,25600,0,FALSE,18,106,8,376,,Off,
Saint-Priest,https://alfalavalonline.sharepoint.com/sites/LocalSite-saint-priest,FALSE,5.65,Share-Collaboration,All Local Sites,Communication site,8/26/2021 5:00:00 PM,4/23/2019 12:40:54 AM,Share-Collaboration,25600,0,FALSE,147,724,59,2750,,Off,
Soborg,https://alfalavalonline.sharepoint.com/sites/LocalSite-soborg,FALSE,4.31,ShareOnline_Support_Admin,All Local Sites,Communication site,8/27/2021 5:00:00 PM,05/07/2019 03:03,Share-Collaboration,25600,0,FALSE,149,1922,205,3372,,Off,
South East Asia,https://alfalavalonline.sharepoint.com/sites/LocalSite-southeastasia,FALSE,1.35,Share-Collaboration,All Local Sites,Communication site,8/26/2021 5:00:00 PM,05/10/2019 02:32,Share-Collaboration,25600,0,FALSE,62,441,23,431,,Off,
South East Europe,https://alfalavalonline.sharepoint.com/sites/LocalSite-southeasteurope,FALSE,0.45,Share-Collaboration,All Local Sites,Communication site,8/26/2021 5:00:00 PM,5/29/2019 12:22:24 AM,Share-Collaboration,25600,0,FALSE,10,245,7,256,,Off,
Sydney - Lucca Road,https://alfalavalonline.sharepoint.com/sites/LocalSite-sydney-luccaroad,FALSE,0,Share-Collaboration,All Local Sites,Communication site,8/26/2021 5:00:00 PM,07/11/2019 23:28,Share-Collaboration,25600,0,FALSE,0,134,1,41,,Off,
Taiwan,https://alfalavalonline.sharepoint.com/sites/LocalSite-taiwan,FALSE,0,Share-Collaboration,All Local Sites,Communication site,8/26/2021 5:00:00 PM,09/10/2019 01:16,Share-Collaboration,25600,0,FALSE,0,142,1,31,,Off,
Tumba,https://alfalavalonline.sharepoint.com/sites/localsite-tumba,FALSE,5.28,ShareOnline_Support_Admin,All Local Sites,Communication site,8/27/2021 5:00:00 PM,1/25/2019 4:59:40 AM,Gurudatt Bhat,25600,0,FALSE,149,2029,100,2907,,Off,
Turkey,https://alfalavalonline.sharepoint.com/sites/LocalSite-turkey,FALSE,0.13,Share-Collaboration,All Local Sites,Communication site,8/26/2021 5:00:00 PM,05/10/2019 06:30,Share-Collaboration,25600,0,FALSE,2,153,6,159,,Off,
United Kingdom & Ireland,https://alfalavalonline.sharepoint.com/sites/LocalSite-unitedkingdom,FALSE,1.72,Share-Collaboration,All Local Sites,Communication site,8/26/2021 5:00:00 PM,5/27/2019 2:03:55 AM,Share-Collaboration,25600,0,FALSE,135,938,55,1233,,Off,
USA,https://alfalavalonline.sharepoint.com/sites/localsite-usa,FALSE,6.17,ShareOnline_Support_Admin,All Local Sites,Communication site,8/27/2021 5:00:00 PM,11/28/2018 6:02:40 AM,Gurudatt Bhat,25600,0,FALSE,270,1413,38,2495,,Off,
Organization,https://alfalavalonline.sharepoint.com/sites/organization,FALSE,6.17,ShareOnline_Support_Admin,All Local Sites,Communication site,8/27/2021 5:00:00 PM,11/28/2018 6:02:40 AM,Gurudatt Bhat,25600,0,FALSE,270,1413,38,2495,,Off,
