Already Exists,Success,SiteURL
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/BUHSS-RDTetraPak
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/BUHSS-RDManagement
TRUE,TRUE,https://alfalavalonline.sharepoint.com/sites/BUMarineSeparationandHeatTransfer
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/BUMarineTrainingcenter-sharedinformation
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/BUWeldedChina
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/BUWHEProjects
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/BUWHETroubleshooting
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/BU-CWHEProductDevandMechTech
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/BUDFood
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/BuhlerInsectCooperation
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/BU-CWHEProductDevandMechanicalTech
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/CAEnergyDivision
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/CAFWD
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/CAFOSBurconProject
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/CAFWDProjectlist
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/CAManagement
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/CAMarineDivision
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/CAOnlinePresence
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/CAPricingTeam
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/CAPureBallast
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/CASalesCompany
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/CanadaFWD
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/CanadaFWDTest
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/CanadianSalesChannels
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/CFAdministration
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/ChallengeMobilit
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/ChannelsSouthAmerica
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/china1test
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/china3
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/chinatest4
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/Chinatest-Jean
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/CITArchitecture&Standards
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/CITInformationIntegration
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/CITProductInformationConfiguration
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/CITServiceDevelopmentMgmt
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/CITTFSTest
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/cit_be_grp
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/CIT_DameWare_Admins
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/CIT_IM_APAC
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/cit_management_grp
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/CLCTestUAT
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/ESDECcoaltar
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/CoilWoundHeatExchangersWarRoom
