"Id","Level","Visible","Title","Url","Order","ParentId","ParentTitle"
"2069","Level 3","True","Speak up!","https://alfalavalonline.sharepoint.com/sites/Policiesandguidelines/SitePages/Speak-up!.aspx","42","2064","Business Principles"
"2070","Level 2","True","Corporate Governance","https://alfalavalonline.sharepoint.com/sites/Policiesandguidelines/SitePages/Corporate Governance.aspx","43","2028","Policies & Guidelines"
"2098","Level 3","True","Corporate Governance Policies","https://alfalavalonline.sharepoint.com/sites/Policiesandguidelines/SitePages/Corporate-Governance-Policies.aspx","44","2070","Corporate Governance"
"2099","Level 2","True","GDPR at Alfa Laval","https://alfalavalonline.sharepoint.com/sites/Policiesandguidelines/SitePages/GDPR-at-Alfa-Laval.aspx","45","2028","Policies & Guidelines"
"2166","Level 2","True","Group Information Security","https://alfalavalonline.sharepoint.com/sites/policiesandguidelines/GroupEnterpriseInformationSecurityPolicy/SitePages/Group-Enterprise-Information-Security-Policy.aspx","46","2028","Policies & Guidelines"
"2030","Level 1","True","Facts & History","/sites/aboutalfalaval/SitePages/Facts & Figures, History, Key industries & technologies.aspx","47","0",""
"2071","Level 2","True","Alfa Laval historical material","/sites/aboutalfalaval/SitePages/Alfa Laval historical material.aspx","48","2030","Facts & History"
"2072","Level 2","True","Alfa Laval historical wall","/sites/aboutalfalaval/SitePages/Alfa Laval historical wall.aspx","49","2030","Facts & History"
"2031","Level 1","True","Communication & Brand","https://alfalavalonline.sharepoint.com/sites/communicationbrand","50","0",""
"2040","Level 2","True","Internal Communication","https://alfalavalonline.sharepoint.com/sites/communicationbrand/internalcommunications","51","2031","Communication & Brand"
"2036","Level 2","True","External Communication","https://alfalavalonline.sharepoint.com/sites/communicationbrand//SitePages/Communication.aspx","52","2031","Communication & Brand"
"2122","Level 3","True","Here magazine","https://alfalavalonline.sharepoint.com/sites/communicationbrand/SitePages/Here-magazine.aspx","53","2036","External Communication"
"2078","Level 3","True","Public Relations - PR","https://alfalavalonline.sharepoint.com/sites/communicationbrand/SitePages/Public Relations - PR.aspx","54","2036","External Communication"
"2079","Level 3","True","Social Media","https://alfalavalonline.sharepoint.com/sites/communicationbrand/SitePages/Social-Media.aspx","55","2036","External Communication"
"2037","Level 2","True","Brand identity","https://alfalavalonline.sharepoint.com/sites/communicationbrand/SitePages/Brand identity.aspx","56","2031","Communication & Brand"
"2164","Level 3","True","Updated brand identity guidelines","https://alfalavalonline.sharepoint.com/sites/communicationbrand/SitePages/Brand-identity-guidelines.aspx","57","2037","Brand identity"
"2080","Level 3","True","Alfa Laval brand mark","https://alfalavalonline.sharepoint.com/sites/communicationbrand/SitePages/Alfa Laval brand mark.aspx","58","2037","Brand identity"
"2081","Level 3","True","Artwork templates","https://alfalavalonline.sharepoint.com/sites/communicationbrand/SitePages/Artwork templates.aspx","59","2037","Brand identity"
"2082","Level 3","True","Channel partner guidelines","https://alfalavalonline.sharepoint.com/sites/communicationbrand/SitePages/Channel partner communication guidelines.aspx","60","2037","Brand identity"
"2083","Level 3","True","Communication guidelines","https://alfalavalonline.sharepoint.com/sites/communicationbrand/SitePages/Communication guidelines.aspx","61","2037","Brand identity"
"2084","Level 3","True","Office templates","/sites/aboutalfalaval/SitePages/Office templates.aspx","62","2037","Brand identity"
"2085","Level 3","True","Packaging guidelines","https://alfalavalonline.sharepoint.com/sites/communicationbrand/SitePages/Packaging guidelines.aspx","63","2037","Brand identity"
"2086","Level 3","True","Product marking guidelines","https://alfalavalonline.sharepoint.com/sites/communicationbrand/SitePages/Product marking guidelines.aspx","64","2037","Brand identity"
"2087","Level 3","True","Service vehicle signage guidelines","https://alfalavalonline.sharepoint.com/sites/communicationbrand/SitePages/Service vehicle signage guidelines.aspx","65","2037","Brand identity"
"2088","Level 3","True","Sign guidelines","https://alfalavalonline.sharepoint.com/sites/communicationbrand/SitePages/Sign guidelines.aspx","66","2037","Brand identity"
"2089","Level 3","True","Stationary guidelines","https://alfalavalonline.sharepoint.com/sites/communicationbrand/SitePages/Stationary guidelines.aspx","67","2037","Brand identity"
"2039","Level 2","True","Events, Exhibitions & Meetings","https://alfalavalonline.sharepoint.com/sites/communicationbrand/SitePages/Events,%20Exhibitions%20&%20Meetings.aspx","68","2031","Communication & Brand"
"2091","Level 3","True","Registration form","https://alfalavalonline.sharepoint.com/sites/communicationbrand/Lists/Exhibition_and_event_schedule/newform.aspx","69","2039","Events, Exhibitions & Meetings"
"2092","Level 3","True","Exhibition and event schedule","https://alfalavalonline.sharepoint.com/sites/communicationbrand/Lists/Exhibition_and_event_schedule/AllItems.aspx","70","2039","Events, Exhibitions & Meetings"
"2093","Level 3","True","Exhibition policy","https://alfalavalonline.sharepoint.com/sites/communicationbrand/SitePages/Exhibition policy.aspx","71","2039","Events, Exhibitions & Meetings"
"2094","Level 3","True","Exhibition guidelines","https://alfalavalonline.sharepoint.com/sites/communicationbrand/SitePages/Exhibition guidelines.aspx","72","2039","Events, Exhibitions & Meetings"
"2095","Level 3","True","Exhibition concept and elements","https://alfalavalonline.sharepoint.com/sites/communicationbrand/SitePages/Exhibition concept and elements.aspx","73","2039","Events, Exhibitions & Meetings"
"2096","Level 3","True","Questions and Answers","https://alfalavalonline.sharepoint.com/sites/communicationbrand/SitePages/Questions and Answers.aspx","74","2039","Events, Exhibitions & Meetings"
"2032","Level 1","True","How We Work","https://alfalavalonline.sharepoint.com/sites/HWW","75","0",""
