Id,Level,Visible,Title,Url,Order,ParentId,ParentTitle
2036,Level 2,TRUE,External Communication,https://alfalavalonline.sharepoint.com/sites/communicationbrand//SitePages/Communication.aspx,42,2031,Communication & Brand
2122,Level 3,TRUE,Here magazine,https://alfalavalonline.sharepoint.com/sites/communicationbrand/SitePages/Here-magazine.aspx,43,2036,External Communication
2078,Level 3,TRUE,Public Relations - PR,https://alfalavalonline.sharepoint.com/sites/communicationbrand/SitePages/Public Relations - PR.aspx,44,2036,External Communication
2079,Level 3,TRUE,Social Media,https://alfalavalonline.sharepoint.com/sites/communicationbrand/SitePages/Social-Media.aspx,45,2036,External Communication
2037,Level 2,TRUE,Brand identity,https://alfalavalonline.sharepoint.com/sites/communicationbrand/SitePages/Brand identity.aspx,46,2031,Communication & Brand
2164,Level 3,TRUE,Updated brand identity guidelines,https://alfalavalonline.sharepoint.com/sites/communicationbrand/SitePages/Brand-identity-guidelines.aspx,47,2037,Brand identity
2080,Level 3,TRUE,Alfa Laval brand mark,https://alfalavalonline.sharepoint.com/sites/communicationbrand/SitePages/Alfa Laval brand mark.aspx,48,2037,Brand identity
2081,Level 3,TRUE,Artwork templates,https://alfalavalonline.sharepoint.com/sites/communicationbrand/SitePages/Artwork templates.aspx,49,2037,Brand identity
2082,Level 3,TRUE,Channel partner guidelines,https://alfalavalonline.sharepoint.com/sites/communicationbrand/SitePages/Channel partner communication guidelines.aspx,50,2037,Brand identity
2083,Level 3,TRUE,Communication guidelines,https://alfalavalonline.sharepoint.com/sites/communicationbrand/SitePages/Communication guidelines.aspx,51,2037,Brand identity
2084,Level 3,TRUE,Office templates,/sites/aboutalfalaval/SitePages/Office templates.aspx,52,2037,Brand identity
2085,Level 3,TRUE,Packaging guidelines,https://alfalavalonline.sharepoint.com/sites/communicationbrand/SitePages/Packaging guidelines.aspx,53,2037,Brand identity
2086,Level 3,TRUE,Product marking guidelines,https://alfalavalonline.sharepoint.com/sites/communicationbrand/SitePages/Product marking guidelines.aspx,54,2037,Brand identity
2087,Level 3,TRUE,Service vehicle signage guidelines,https://alfalavalonline.sharepoint.com/sites/communicationbrand/SitePages/Service vehicle signage guidelines.aspx,55,2037,Brand identity
2088,Level 3,TRUE,Sign guidelines,https://alfalavalonline.sharepoint.com/sites/communicationbrand/SitePages/Sign guidelines.aspx,56,2037,Brand identity
2089,Level 3,TRUE,Stationary guidelines,https://alfalavalonline.sharepoint.com/sites/communicationbrand/SitePages/Stationary guidelines.aspx,57,2037,Brand identity
2039,Level 2,TRUE,"Events, Exhibitions & Meetings","https://alfalavalonline.sharepoint.com/sites/communicationbrand/SitePages/Events,%20Exhibitions%20&%20Meetings.aspx",58,2031,Communication & Brand
2091,Level 3,TRUE,Registration form,https://alfalavalonline.sharepoint.com/sites/communicationbrand/Lists/Exhibition_and_event_schedule/newform.aspx,59,2039,"Events, Exhibitions & Meetings"
2092,Level 3,TRUE,Exhibition and event schedule,https://alfalavalonline.sharepoint.com/sites/communicationbrand/Lists/Exhibition_and_event_schedule/AllItems.aspx,60,2039,"Events, Exhibitions & Meetings"
2093,Level 3,TRUE,Exhibition policy,https://alfalavalonline.sharepoint.com/sites/communicationbrand/SitePages/Exhibition policy.aspx,61,2039,"Events, Exhibitions & Meetings"
2094,Level 3,TRUE,Exhibition guidelines,https://alfalavalonline.sharepoint.com/sites/communicationbrand/SitePages/Exhibition guidelines.aspx,62,2039,"Events, Exhibitions & Meetings"
2095,Level 3,TRUE,Exhibition concept and elements,https://alfalavalonline.sharepoint.com/sites/communicationbrand/SitePages/Exhibition concept and elements.aspx,63,2039,"Events, Exhibitions & Meetings"
2096,Level 3,TRUE,Questions and Answers,https://alfalavalonline.sharepoint.com/sites/communicationbrand/SitePages/Questions and Answers.aspx,64,2039,"Events, Exhibitions & Meetings"
2032,Level 1,TRUE,How We Work,https://alfalavalonline.sharepoint.com/sites/HWW,65,0,
